title_jp,title_en,format,source,release_date,end_date,season,episodes,duration (min),genres,score,average_score,popularity
Jujutsu Kaisen,JUJUTSU KAISEN,TV,MANGA,"{'year': 2020, 'month': 10, 'day': 3}","{'year': 2021, 'month': 3, 'day': 27}",FALL,24,24,"['Action', 'Drama', 'Supernatural']",7.5,85,769775
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,TV,LIGHT_NOVEL,"{'year': 2021, 'month': 1, 'day': 6}","{'year': 2021, 'month': 3, 'day': 24}",WINTER,12,30,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Psychological', 'Romance', 'Thriller']",8.0,84,239140
DAICON IV Opening Animation,,MOVIE,ORIGINAL,"{'year': 1983, 'month': 8, 'day': 20}","{'year': 1983, 'month': 8, 'day': 20}",SUMMER,1,6,"['Action', 'Adventure', 'Mecha', 'Music', 'Sci-Fi']",0.0,77,3282
Pale Cocoon,Pale Cocoon,OVA,ORIGINAL,"{'year': 2005, 'month': 12, 'day': 10}","{'year': 2005, 'month': 12, 'day': 10}",WINTER,1,23,"['Drama', 'Sci-Fi']",7.0,68,14768
Tori no Uta,Bird's Song; Bird's Poem,OVA,,"{'year': 2007, 'month': 1, 'day': 30}","{'year': 2007, 'month': 1, 'day': 30}",WINTER,1,34,"['Fantasy', 'Psychological']",0.0,59,2305
EUREKA: Koukyoushihen Eureka Seven Hi-Evolution,EUREKA: Eureka Seven Hi-Evolution,MOVIE,ORIGINAL,"{'year': 2021, 'month': 11, 'day': 26}","{'year': 2021, 'month': 11, 'day': 26}",FALL,1,116,"['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi']",7.0,61,4281
TEXHNOLYZE,Texhnolyze,TV,ORIGINAL,"{'year': 2003, 'month': 4, 'day': 17}","{'year': 2003, 'month': 9, 'day': 25}",SPRING,22,23,"['Action', 'Drama', 'Psychological', 'Sci-Fi']",8.5,77,68611
1-Pound no Fukuin,One Pound Gospel,OVA,MANGA,"{'year': 1988, 'month': 12, 'day': 2}","{'year': 1988, 'month': 12, 'day': 2}",FALL,1,50,"['Comedy', 'Romance', 'Sports']",5.0,61,2448
1001 Nights,,MOVIE,,"{'year': 1999, 'month': 4, 'day': 24}","{'year': 1999, 'month': 4, 'day': 24}",SPRING,1,24,"['Fantasy', 'Romance']",0.0,62,7415
11-nin Iru!,They Were 11,MOVIE,MANGA,"{'year': 1986, 'month': 11, 'day': 1}","{'year': 1986, 'month': 11, 'day': 1}",FALL,1,91,"['Action', 'Adventure', 'Drama', 'Mystery', 'Romance', 'Sci-Fi']",7.0,67,4277
12-sai.: Chiccha na Mune no Tokimeki,,TV,MANGA,"{'year': 2016, 'month': 4, 'day': 4}","{'year': 2016, 'month': 6, 'day': 20}",SPRING,12,24,['Romance'],6.0,60,7391
3-gatsu no Lion,March comes in like a lion,TV,MANGA,"{'year': 2016, 'month': 10, 'day': 8}","{'year': 2017, 'month': 3, 'day': 18}",FALL,22,25,"['Drama', 'Slice of Life']",10.0,83,186251
3-gatsu no Lion 2,March comes in like a lion Season 2,TV,MANGA,"{'year': 2017, 'month': 10, 'day': 14}","{'year': 2018, 'month': 3, 'day': 31}",FALL,22,25,"['Drama', 'Slice of Life']",10.0,89,117408
Go-toubun no Hanayome,The Quintessential Quintuplets,TV,MANGA,"{'year': 2019, 'month': 1, 'day': 11}","{'year': 2019, 'month': 3, 'day': 29}",WINTER,12,24,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",7.0,75,256114
86: Eighty Six,86 EIGHTY-SIX,TV,LIGHT_NOVEL,"{'year': 2021, 'month': 4, 'day': 11}","{'year': 2021, 'month': 6, 'day': 20}",SPRING,11,24,"['Action', 'Drama', 'Mecha', 'Sci-Fi']",9.0,82,240862
a piece of PHANTASMAGORIA,,OVA,,"{'year': 1995, 'month': None, 'day': None}","{'year': 1995, 'month': None, 'day': None}",,15,5,['Fantasy'],0.0,58,2143
Absolute Duo,Absolute Duo,TV,LIGHT_NOVEL,"{'year': 2015, 'month': 1, 'day': 4}","{'year': 2015, 'month': 3, 'day': 22}",WINTER,12,24,"['Action', 'Ecchi', 'Romance', 'Supernatural']",5.0,60,105109
Acchi Kocchi,Place to Place,TV,MANGA,"{'year': 2012, 'month': 4, 'day': 6}","{'year': 2012, 'month': 6, 'day': 29}",SPRING,12,24,"['Comedy', 'Romance', 'Slice of Life']",8.0,72,65965
Ace wo Nerae!,Aim for the Ace!,TV,MANGA,"{'year': 1973, 'month': 10, 'day': 5}","{'year': 1974, 'month': 3, 'day': 29}",FALL,26,24,"['Drama', 'Sports']",8.0,70,6912
Ace wo Nerae! 2,Aim for the Ace!: Another Match,OVA,MANGA,"{'year': 1988, 'month': 7, 'day': 25}","{'year': 1988, 'month': 10, 'day': 25}",SUMMER,13,25,"['Drama', 'Sports']",10.0,73,1701
Ace wo Nerae: Final Stage,,OVA,MANGA,"{'year': 1989, 'month': 10, 'day': 25}","{'year': 1990, 'month': 4, 'day': 25}",FALL,12,24,"['Action', 'Sports']",9.0,70,1283
Aho-Girl,AHO-GIRL,TV_SHORT,MANGA,"{'year': 2017, 'month': 7, 'day': 4}","{'year': 2017, 'month': 9, 'day': 19}",SUMMER,12,13,"['Comedy', 'Romance']",6.0,64,111674
Ai Yori Aoshi,Ai Yori Aoshi,TV,MANGA,"{'year': 2002, 'month': 4, 'day': 11}","{'year': 2002, 'month': 9, 'day': 26}",SPRING,24,23,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",7.0,67,15772
AIR,Air,TV,VISUAL_NOVEL,"{'year': 2005, 'month': 1, 'day': 7}","{'year': 2005, 'month': 4, 'day': 1}",WINTER,13,24,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",6.0,68,45574
Akagami no Shirayuki-hime,Snow White with the Red Hair,TV,MANGA,"{'year': 2015, 'month': 7, 'day': 7}","{'year': 2015, 'month': 9, 'day': 22}",SUMMER,12,24,"['Drama', 'Fantasy', 'Romance']",9.0,76,154207
Akagami no Shirayuki-hime 2nd Season,Snow White with the Red Hair Season 2,TV,MANGA,"{'year': 2016, 'month': 1, 'day': 12}","{'year': 2016, 'month': 3, 'day': 29}",WINTER,12,24,"['Drama', 'Fantasy', 'Romance']",8.0,78,76885
Akatsuki no Yona,Yona of the Dawn,TV,MANGA,"{'year': 2014, 'month': 10, 'day': 7}","{'year': 2015, 'month': 3, 'day': 24}",FALL,24,24,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",8.0,79,182009
Akudama Drive,Akudama Drive,TV,ORIGINAL,"{'year': 2020, 'month': 10, 'day': 8}","{'year': 2020, 'month': 12, 'day': 24}",FALL,12,24,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",8.0,75,139050
Aldnoah.Zero,ALDNOAH.ZERO,TV,ORIGINAL,"{'year': 2014, 'month': 7, 'day': 6}","{'year': 2014, 'month': 9, 'day': 21}",SUMMER,12,24,"['Action', 'Mecha', 'Sci-Fi']",8.0,70,92921
